disease,year,age,country,country_name,cohort_size,dalys,cases,deaths
JE,2000,0,CHN,China,,,,
JE,2001,0,CHN,China,,,,
JE,2002,0,CHN,China,,,,
JE,2003,0,CHN,China,,,,
JE,2004,0,CHN,China,,,,
JE,2005,0,CHN,China,,,,
JE,2006,0,CHN,China,,,,
JE,2007,0,CHN,China,,,,
JE,2008,0,CHN,China,,,,
JE,2009,0,CHN,China,,,,
JE,2010,0,CHN,China,,,,
JE,2011,0,CHN,China,,,,
JE,2012,0,CHN,China,,,,
JE,2013,0,CHN,China,,,,
JE,2014,0,CHN,China,,,,
JE,2015,0,CHN,China,,,,
JE,2016,0,CHN,China,,,,
JE,2017,0,CHN,China,,,,
JE,2018,0,CHN,China,,,,
JE,2019,0,CHN,China,,,,
JE,2020,0,CHN,China,,,,
JE,2021,0,CHN,China,,,,
JE,2022,0,CHN,China,,,,
JE,2023,0,CHN,China,,,,
JE,2024,0,CHN,China,,,,
JE,2025,0,CHN,China,,,,
JE,2026,0,CHN,China,,,,
JE,2027,0,CHN,China,,,,
JE,2028,0,CHN,China,,,,
JE,2029,0,CHN,China,,,,
JE,2030,0,CHN,China,,,,
JE,2031,0,CHN,China,,,,
JE,2032,0,CHN,China,,,,
JE,2033,0,CHN,China,,,,
JE,2034,0,CHN,China,,,,
JE,2035,0,CHN,China,,,,
JE,2036,0,CHN,China,,,,
JE,2037,0,CHN,China,,,,
JE,2038,0,CHN,China,,,,
JE,2039,0,CHN,China,,,,
JE,2040,0,CHN,China,,,,
JE,2041,0,CHN,China,,,,
JE,2042,0,CHN,China,,,,
JE,2043,0,CHN,China,,,,
JE,2044,0,CHN,China,,,,
JE,2045,0,CHN,China,,,,
JE,2046,0,CHN,China,,,,
JE,2047,0,CHN,China,,,,
JE,2048,0,CHN,China,,,,
JE,2049,0,CHN,China,,,,
JE,2050,0,CHN,China,,,,
JE,2051,0,CHN,China,,,,
JE,2052,0,CHN,China,,,,
JE,2053,0,CHN,China,,,,
JE,2054,0,CHN,China,,,,
JE,2055,0,CHN,China,,,,
JE,2056,0,CHN,China,,,,
JE,2057,0,CHN,China,,,,
JE,2058,0,CHN,China,,,,
JE,2059,0,CHN,China,,,,
JE,2060,0,CHN,China,,,,
JE,2061,0,CHN,China,,,,
JE,2062,0,CHN,China,,,,
JE,2063,0,CHN,China,,,,
JE,2064,0,CHN,China,,,,
JE,2065,0,CHN,China,,,,
JE,2066,0,CHN,China,,,,
JE,2067,0,CHN,China,,,,
JE,2068,0,CHN,China,,,,
JE,2069,0,CHN,China,,,,
JE,2070,0,CHN,China,,,,
JE,2071,0,CHN,China,,,,
JE,2072,0,CHN,China,,,,
JE,2073,0,CHN,China,,,,
JE,2074,0,CHN,China,,,,
JE,2075,0,CHN,China,,,,
JE,2076,0,CHN,China,,,,
JE,2077,0,CHN,China,,,,
JE,2078,0,CHN,China,,,,
JE,2079,0,CHN,China,,,,
JE,2080,0,CHN,China,,,,
JE,2081,0,CHN,China,,,,
JE,2082,0,CHN,China,,,,
JE,2083,0,CHN,China,,,,
JE,2084,0,CHN,China,,,,
JE,2085,0,CHN,China,,,,
JE,2086,0,CHN,China,,,,
