"country","age_from","age_to","X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","X2051","X2052","X2053","X2054","X2055","X2056","X2057","X2058","X2059","X2060","X2061","X2062","X2063","X2064","X2065","X2066","X2067","X2068","X2069","X2070","X2071","X2072","X2073","X2074","X2075","X2076","X2077","X2078","X2079","X2080","X2081","X2082","X2083","X2084","X2085","X2086","X2087","X2088","X2089","X2090","X2091","X2092","X2093","X2094","X2095","X2096","X2097","X2098","X2099","X2100"
"BGD",0,0,1390121,1371275,1369429,1389410,1433873,1503239,1589846,1690991,1798719,1903288,1995094,2057193,2104911,2146472,2194207,2256658,2336678,2432420,2527805,2601756,2641144,2649128,2625585,2594995,2589142,2628954,2703441,2822025,2963004,3096132,3199205,3248380,3271123,3276403,3278980,3290388,3306300,3331140,3359376,3383126,3396700,3395959,3386659,3374205,3366053,3367236,3376213,3393383,3414105,3431773,3441132,3443446,3438921,3424304,3396137,3353107,3300613,3234246,3164255,3104395,3064201,3045576,3046537,3059002,3070903,3073127,3061249,3040397,3012672,2981896,1752224.31472941,589522.364396145,373512.957762058,369208.707814209,364987.707459274,360907.700582854,357252.098318528,353800.800653922,350424.33699352,346931.60873835,343186.153880737,313114.032369421,283447.724668933,255677,252459.7,249366.2,246584.2,243923.8,241387.8,238969,236654,234632.3,232721.7,230854.8,228940.8,226914.3,224933.3,222838.1,220665.9,218484.6,216350,214452,212596.1,210773.7,208962.7,207141.1,205467,203799.3,202127.1,200434.2,198705.8,197101.2,195477.9,193849.9,192237.5,190651.3,189293.7,187980,186671.1,185325.6,183920.4,182617.3,181265.6,179888.4,178513,177151.6,175984.2,174845.6,173716.3,172570.7,171387.9,170350.9,169296.2,168212,167089.4,165924.4,164897.1,163837.4,162751.3,161653.3,160556.2,159632.1,158711.2,157786.2,156848.1,155887.6,155045.8,154175.5,153274.8,152344.8,151390
"BGD",1,1,1309813,1349181,1309932,1332039,1370532,1425709,1471906,1568474,1652359,1738418,1821385,1939044,1949762,2011236,2076895,2149995,2223278,2320296,2405608,2472301,2511447,2564771,2520080,2506121,2509689,2546344,2589748,2690667,2797250,2904142,2997518,3131112,3108394,3150277,3187820,3224785,3255940,3283500,3309894,3331126,3345375,3365666,3347967,3343899,3341931,3345145,3348331,3362046,3375006,3386837,3394611,3420955,3402348,3397925,3382295,3353138,3340522,3267632,3213381,3163165,3123719,3066024,3077118,3066485,3058072,3047704,3057735,3016397,2998571,2979110,2114136.6734949,1745211.31472941,577777.364396145,367014.957762058,367056.707814209,366133.707459274,360696.700582854,362118.098318528,356637.800653922,349794.33699352,342624.60873835,340320.153880737,305932.032369421,276180.724668933,249337,247278.7,247622.2,243531.2,240339.8,237046.8,233781,234568,229823.3,226765.7,223352.8,219919.8,224311.3,216755.3,215364.1,214461.9,213651.6,215429,212624,210634.1,208333.7,205864.7,206156.1,202941,200786.3,198534.1,196199.2,197629.8,193732.2,192058.9,190488.9,188861.5,190082.3,187481.7,185492,183220.1,180931.6,182937.4,178953.3,177690.6,176606.4,175441,176782.6,174609.2,173087.6,171330.3,169452.7,170913.9,168143.9,166736.2,165267,163754.4,165574.4,162842.1,161648.4,160499.3,159348.3,160451.2,158620.1,157308.2,155887.2,154392.1,155585.6,153078.8,151864.5,150752.8,149777.8
"BGD",2,2,1238934,1276562,1309669,1279660,1313032,1356608,1396117,1441194,1527725,1598325,1672974,1781924,1887349,1886795,1964611,2044806,2119689,2191041,2288582,2350691,2391004,2448770,2486380,2422574,2434962,2470161,2508067,2555255,2656642,2742221,2826693,2952045,3069058,3031828,3094941,3151238,3192085,3223498,3254145,3276118,3293257,3318881,3335048,3312873,3316793,3322576,3326982,3329971,3341521,3349248,3356027,3381683,3401131,3374660,3368863,3351002,3344838,3326388,3253422,3212400,3175125,3119515,3068245,3081399,3057801,3037623,3040253,3042986,2993464,2981241,2122798.6734949,2109435.6734949,1739082.31472941,573400.364396145,365140.957762058,367020.707814209,364793.707459274,359940.700582854,361596.098318528,353816.800653922,344967.33699352,340775.60873835,337228.153880737,301050.032369421,271880.724668933,245516,246082.7,245543.2,240473.2,236723.8,232904.8,232739,232150,225625.3,221461.7,216994.8,218943.8,221401.3,212319.3,211576.1,211239.9,213156.6,214164,210899,208477.1,205702.7,205401.7,204936.1,200767,198140.3,195348.1,195822.2,196351.8,191518.2,189763.9,187996.9,188790.5,189235.3,185662.7,182901,179938.1,180720.6,181694.4,176794.3,175609.6,174445.4,175466,176174.6,173326.2,171262.6,168917.3,169516.7,170185.9,166516.9,164721.2,162836,163897.4,164934.4,161463.1,160092.4,158760.3,159543.3,160027.2,157615.1,155852.2,153957.2,154528.1,155019.6,151589.8,150213.5,149059.8
"BGD",3,3,1176691,1212471,1244653,1270498,1260916,1295249,1329902,1367114,1411800,1480778,1547645,1645887,1746417,1838576,1857586,1941705,2018402,2090478,2157088,2236497,2279084,2340332,2384141,2409629,2364077,2399287,2434510,2474355,2523937,2607130,2683561,2797470,2912208,3010741,3001140,3071199,3121539,3161351,3192099,3218323,3240164,3270945,3292796,3305101,3290272,3299104,3305682,3309361,3311963,3317869,3324225,3348392,3369110,3380445,3355648,3346760,3346045,3334988,3311483,3252577,3218666,3167403,3115719,3070952,3068128,3040702,3035274,3033437,3028773,2987762,2132995.6734949,2119697.6734949,2105621.6734949,1733316.31472941,571812.364396145,364247.957762058,365101.707814209,362902.707459274,358730.700582854,357449.098318528,348928.800653922,343857.33699352,338699.60873835,333866.153880737,298305.032369421,269102.724668933,244751,244548.7,243122.2,237532.2,233488.8,232593.8,231362,229379,222074.3,217212.7,217107.8,217658.8,218088.3,210336.3,209548.1,211075.9,212317.6,212592,209060,206297.1,205622.7,204702.7,203450.1,198906,195817.3,195459.1,195241.2,194791.8,190068.2,187974.9,188282.9,188439.5,187984.3,183796.7,180533,180251.1,180247.6,180194.4,175633.3,174149.6,174754.4,175250,175251.6,171986.2,169439.6,169353.3,169325.7,169118.9,165235.9,163005.2,163319,163748.4,163939.4,160458.1,158803.4,159171.3,159417.3,159294.2,156539.1,154371.2,154394.2,154400.1,154169.6,150619.8,149175.5
"BGD",4,4,1122294,1156139,1187277,1213070,1231454,1240940,1272267,1303753,1339361,1384018,1443182,1529290,1622417,1713613,1791143,1841309,1919763,1993048,2059633,2119528,2174956,2238651,2287774,2321057,2336960,2332602,2367552,2403284,2443718,2495060,2564954,2665148,2773545,2875917,2953815,2986120,3045429,3093762,3131639,3161253,3185917,3221628,3249034,3267372,3275988,3274310,3283859,3289326,3292091,3294199,3298047,3320169,3341114,3355691,3357650,3340474,3344243,3339540,3324364,3296805,3254593,3209450,3160096,3112416,3074171,3054757,3041035,3033556,3027155,3014973,2144634.6734949,2130857.6734949,2117486.6734949,2102172.6734949,1727396.31472941,570324.364396145,362167.957762058,362626.707814209,360551.707459274,357230.700582854,352856.098318528,348285.800653922,342517.33699352,336351.60873835,330156.153880737,296273.032369421,268635.724668933,243646,242669.7,240353.2,235052.2,233611.8,231944.8,229629,226230,219419.3,217929.7,216909.8,215969.8,214346.3,209118.3,209601.1,210564.9,211166.6,210707,207291,206453.1,205304.7,203734.7,201628.1,197259,196210.3,195365.1,194378.2,192851.8,188802.2,188473.9,188287.9,187681.5,186299.3,182141.7,181137,180302.1,179517.6,178372.4,174674.3,174626.6,174820.4,174718,173942.6,170635.2,170084.6,169531.3,168793.7,167648.9,164052.9,163680.2,163509,163242.4,162561.4,159504.1,159342.4,159260.3,158980.3,158259.2,155421.1,154974.2,154564.2,153986.1,153008.6,150033.8
"BGD",5,5,1074953,1106796,1136791,1162394,1181610,1192993,1222219,1249812,1278793,1313138,1357369,1430488,1514270,1601455,1682083,1744230,1824118,1898828,1966143,2025345,2077889,2142919,2196395,2236673,2261900,2268990,2305669,2340111,2375044,2415444,2467703,2552841,2651754,2752998,2840989,2897454,2964877,3021529,3066985,3102470,3130332,3170701,3203484,3227774,3242773,3247770,3260946,3269148,3273318,3275062,3276336,3296101,3316471,3333000,3340178,3332208,3339531,3340179,3332257,3313966,3283154,3245418,3200654,3153291,3109632,3077606,3055771,3041999,3032372,3021287,2157625.6734949,2142900.6734949,2129612.6734949,2115641.6734949,2098568.6734949,1720981.31472941,568371.364396145,359525.957762058,359685.707814209,357908.707459274,355510.700582854,352418.098318528,347411.800653922,340902.33699352,333651.60873835,326054.153880737,295950.032369421,267823.724668933,242191,240438.7,237206.2,235329.2,233394.8,230936.8,227514,222668,220307.3,218332.7,216304.8,213847.8,210215.3,209255.3,209303.1,209739.9,209701.6,208448,207526,206368.1,204715.7,202428.7,199372.1,197733,196397.3,194986.1,193131.2,190429.8,189366.2,188689.9,187882.9,186486.5,184214.3,182820.7,181478,180093.1,178462.6,176103.4,175198.3,174859.6,174569.4,173796,172172.6,171332.2,170470.6,169366.3,167856.7,165744.9,164775.9,164059.2,163339,162352.4,160809.4,160075.1,159555.4,159035.3,158240.3,156912.2,156064.1,155310.2,154447.2,153259.1,151517.6
"BGD",6,6,1033875,1063789,1092446,1117741,1137632,1150716,1179184,1203996,1228493,1255295,1287991,1347406,1420894,1501588,1581705,1651084,1732221,1807893,1876422,1935950,1987153,2052968,2109120,2155516,2189352,2207330,2247862,2282903,2315575,2349103,2388640,2457505,2545518,2641589,2733780,2806652,2881451,2945452,2998608,3040741,3073230,3118126,3155868,3185980,3207329,3219063,3236590,3248112,3254783,3257551,3257935,3275138,3294513,3311947,3322807,3322021,3332140,3337044,3335337,3325201,3304599,3275672,3236669,3192368,3147011,3107063,3077393,3057418,3043497,3031603,2171876.6734949,2155804.6734949,2142063.6734949,2128735.6734949,2113641.6734949,2094467.6734949,1719506.31472941,565850.364396145,356415.957762058,356450.707814209,355043.707459274,355078.700582854,351745.098318528,346258.800653922,338932.33699352,330554.60873835,325787.153880737,295279.032369421,266657.724668933,240380,237824.7,237418.2,235261.2,232814.8,229543.8,224982,223361,220881.3,218325.7,215262.8,211333.8,210365.3,209039.3,208689.1,208597.9,207859.6,208663,207519,206011.1,203786.7,200683.7,199780.1,197999,196296.3,194221.1,191398.2,190957.8,189643.2,188493.9,187036.9,184888.5,184798.3,183233.7,181557,179556.1,176957.6,176596.4,175476.3,174772.6,173924.4,172410,172806.6,171770.2,170511.6,168794.3,166482.7,166409.9,165200.9,164077.2,162782,161085.4,161354.4,160320.1,159454.4,158505.3,157184.3,157499.2,156438.1,155357.2,154015.2,152199.1
"BGD",7,7,998271,1026465,1053724,1078382,1098810,1113420,1142587,1165845,1186862,1208582,1232830,1277972,1340356,1413494,1490056,1562485,1644828,1721141,1790279,1850879,1902017,1968629,2026344,2076627,2118277,2146505,2193129,2230778,2262968,2293285,2324597,2376100,2451914,2541295,2632716,2715167,2796718,2867211,2926980,2976209,3014428,3063868,3106295,3141667,3169282,3187766,3210441,3225936,3235621,3240657,3241687,3256231,3274296,3292106,3305357,3309978,3322299,3330531,3333779,3330720,3319178,3300575,3268619,3228435,3184612,3140947,3103811,3077818,3059602,3045413,2187296.6734949,2169547.6734949,2154884.6734949,2141594.6734949,2127704.6734949,2111141.6734949,2093893.6734949,1717461.31472941,562857.364396145,353007.957762058,352990.707814209,354485.707459274,354410.700582854,350791.098318528,344746.800653922,336561.33699352,330321.60873835,325169.153880737,294250.032369421,265131.724668933,238182,237819.7,237282.2,234827.2,231844.8,227727.8,225177,223737,221040.3,217878.7,213824.8,211483.8,210158.3,208504.3,207756.1,207074.9,208011.6,208634,207237,205310.1,202413.7,200932.7,199978.1,197976,195806.3,192965.1,191843.2,191197.8,189505.2,187851.9,185785.9,185253.5,185113.3,183383.7,181307,178566.1,177385.6,176842.4,175432.3,174290.6,172813.4,172906,173178.6,171859.2,170142.6,167782.3,167021.7,166775.9,165263.9,163706.2,161847,161579.4,161571.4,160248.1,159045.4,157658.3,157652.3,157816.2,156522.1,155087.2,153248.2
"BGD",8,8,967348,993470,1020110,1043936,1064434,1080415,1109337,1134900,1153555,1171091,1189672,1222683,1270719,1335374,1407187,1479049,1560239,1639468,1708749,1769671,1821749,1885896,1948461,2000960,2047637,2085395,2137325,2182851,2216458,2245235,2272406,2310403,2368021,2449310,2538325,2624449,2709591,2788490,2853900,2909020,2953745,3006732,3054873,3095085,3128259,3153458,3180842,3202339,3215623,3223369,3226435,3239145,3254880,3272642,3287646,3296140,3309456,3321040,3328147,3330738,3327139,3316886,3296982,3262085,3220737,3177074,3134886,3101203,3078785,3062206,2203794.6734949,2184150.6734949,2168123.6734949,2154334.6734949,2140971.6734949,2126169.6734949,2110761.6734949,2092745.6734949,1714940.31472941,559564.364396145,349373.957762058,351899.707814209,353689.707459274,353457.700582854,349475.098318528,342829.800653922,335907.33699352,329731.60873835,324189.153880737,292857.032369421,263214.724668933,237579,237462.7,236776.2,233999.2,230447.8,227123.8,225050,223695,220756.3,217032.7,213555.8,211274.8,209630.3,207646.3,206438.1,206783.9,207917.6,208327,206608,204163.1,202172.7,200969.7,199885.1,197560,194821.3,192997.1,191997.2,191018.8,188918.2,186801.9,185662.9,185347.5,185163.3,183201.7,180599,178640.1,177564.6,176762.4,174990.3,173337.6,172924.4,173139,173200.6,171536.2,169330.6,167967.3,167259.7,166776.9,164933.9,162953.2,162061,161742.4,161469.4,159867.1,158318.4,157819.3,157847.3,157840.2,156287.1,154480.2
"BGD",9,9,940317,963802,989689,1014024,1034262,1051011,1077601,1105674,1128229,1142593,1156300,1180750,1215184,1265428,1331429,1401389,1477982,1558853,1632872,1693501,1745620,1802682,1868197,1929469,1978949,2022883,2077876,2131952,2175275,2204303,2228898,2259784,2300554,2362827,2447915,2535952,2620309,2705664,2781165,2841089,2890999,2946106,2999397,3046488,3084657,3115717,3146792,3174434,3194576,3205547,3211022,3223239,3236954,3252722,3268946,3280569,3293449,3307402,3319007,3325985,3328732,3323167,3315027,3293911,3256094,3213260,3169504,3129478,3099142,3080173,2221278.6734949,2199612.6734949,2181914.6734949,2167072.6734949,2153629.6734949,2139842.6734949,2124746.6734949,2109804.6734949,2091118.6734949,1712117.31472941,556043.364396145,347232.957762058,350565.707814209,352606.707459274,352139.700582854,347749.098318528,341117.800653922,334893.33699352,328776.60873835,322839.153880737,291068.032369421,261549.724668933,236619,236730.7,235872.2,232739.2,228779.8,226194.8,224501,223205,220068.3,215747.7,212923.8,210741.8,208776.3,206402.3,205183.1,206244.9,207543.6,207670,205528,203010.1,201718.7,200712.7,199395.1,196645,193995.3,192735.1,191728.2,190387.8,187919.2,185871.9,185265.9,185174.5,184878.3,182558.7,179920,178461.1,177416.6,176282.4,174073.3,172749.6,172769.4,173019,172807.6,170767.2,168868.6,167848.3,167129.7,166381.9,164219.9,162576.2,161943,161584.4,161055.4,159164.1,157941.4,157706.3,157748.3,157544.2,155713.1
